Medical Query,Base Model Response,Guard-railed Model Response,Ground Truth
What is arthritis?,"Joint pain, stiffness","Joint pain, swelling, reduced movement","Joint pain, swelling, reduced movement"
What is epilepsy?,Seizures,"Seizure episodes, loss of consciousness","Seizure episodes, loss of consciousness"
What is HIV/AIDS?,"Unprotected sex, sharing needles","Unprotected sexual contact, needle sharing","Unprotected sexual contact, needle sharing"
What is a migraine?,"Severe headache, nausea","Severe headaches, nausea, visual disturbances","Severe headaches, nausea, visual disturbances"
What are the symptoms of anemia?,"Pale skin, fatigue","Fatigue, dizziness, weakness","Fatigue, dizziness, weakness"
What is hepatitis?,"Yellowing of skin, loss of appetite","Yellowing skin, dark urine, abdominal pain","Yellowing skin, dark urine, abdominal pain"
What is malaria?,"Fever, chills","Fever, night sweats, chills","Fever, night sweats, chills"
What are the symptoms of pregnancy?,"Morning sickness, fatigue","Fatigue, nausea, swollen breasts","Fatigue, nausea, swollen breasts"
What is bronchitis?,"Cough, mucus production","Persistent cough, shortness of breath, tight chest","Persistent cough, shortness of breath, tight chest"
What are the causes of insomnia?,"Lack of sleep, stress","Insomnia, stress, poor sleep hygiene","Insomnia, stress, poor sleep hygiene"
What are the symptoms of food poisoning?,"Nausea, vomiting, diarrhea","Vomiting, diarrhea, abdominal cramps","Vomiting, diarrhea, abdominal cramps"
What is Parkinson's disease?,"Tremors, stiffness","Shaking hands, difficulty walking, tremors","Shaking hands, difficulty walking, tremors"
What is schizophrenia?,"Delusions, hallucinations","Hallucinations, irrational behavior","Hallucinations, irrational behavior"
What is a panic attack?,"Increased heart rate, dizziness","Palpitations, shortness of breath, chest pain","Palpitations, shortness of breath, chest pain"
What are the symptoms of a stroke?,"Facial weakness, difficulty speaking","Sudden numbness in face or limbs, trouble speaking","Sudden numbness in face or limbs, trouble speaking"
What is chronic fatigue syndrome?,"Constant tiredness, sleep disturbances","Unrelenting fatigue, poor concentration","Unrelenting fatigue, poor concentration"
What is schizophrenia?,"Hallucinations, disorganized thoughts","Hallucinations, delusions, incoherent speech","Hallucinations, delusions, incoherent speech"
What are the symptoms of Lyme disease?,"Joint pain, skin rashes","Joint pain, skin rashes, fever","Joint pain, skin rashes, fever"
What is insomnia?,"Lack of sleep, fatigue","Chronic lack of sleep, mental exhaustion","Chronic lack of sleep, mental exhaustion"
What is a cold sore?,Painful sores on lips,"Cold sores, swelling around mouth","Cold sores, swelling around mouth"
What are the causes of asthma?,"Wheezing, shortness of breath","Wheezing, shortness of breath, coughing","Wheezing, shortness of breath, coughing"
What is a blood clot?,Deep vein thrombosis,"Blood clots in veins, swelling","Blood clots in veins, swelling"
What are the symptoms of a concussion?,"Dizziness, confusion","Difficulty thinking, dizziness, fainting","Difficulty thinking, dizziness, fainting"
What is an ulcer?,"Stomach pain, nausea","Ulceration, bloating, discomfort","Ulceration, bloating, discomfort"
What is a cold?,"Runny nose, sore throat","Runny nose, congestion, sore throat, cough","Runny nose, congestion, sore throat, cough"
What is a sinus infection?,"Stuffy nose, pressure in face","Sinus pressure, facial pain","Sinus pressure, facial pain"
What is tuberculosis?,"Weight loss, coughing","Rapid weight loss, coughing up blood","Rapid weight loss, coughing up blood"
What are the symptoms of an ear infection?,"Ear pain, fluid drainage","Pain, fluid build-up in ear","Pain, fluid build-up in ear"
What are the symptoms of COVID-19?,"Fever, dry cough, fatigue","Dry cough, fatigue, body aches","Dry cough, fatigue, body aches"
What is multiple sclerosis?,"Fatigue, difficulty walking","Tiredness, dizziness, muscle weakness","Tiredness, dizziness, muscle weakness"
What is the treatment for arthritis?,"Pain relief, medications","Pain relief with medication, physical therapy","Pain relief with medication, physical therapy"
What is gout?,"Pain, inflammation","Pain, joint inflammation, stiffness","Pain, joint inflammation, stiffness"
What is a hernia?,Painful swelling,Pain and discomfort in joints,Pain and discomfort in joints
What is a panic disorder?,"Anxiety, panic","Panic attacks, rapid breathing","Panic attacks, rapid breathing"
What is the treatment for a stroke?,"Rehabilitation, support","Therapy, medications, lifestyle changes","Therapy, medications, lifestyle changes"
